ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1840,USA,Cavalier,Waters,Salem,"Majunga, Zanzibar",,"PE Pingree papers -Box 74, folder 4",PE catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1841,USA,Cavalier,John Waters,Salem,Zanzibar,,"PE Pingree papers -Box 74, folder 4; Pe LOG 483 and 1179",NEM 213,carrying Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1841,USA,Cavalier,Nehemiah W Andrews,Salem,"Zanzibar, Madagascar, Bombay",,PEM,"RW 1, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1842,USA,Cavalier,Nehemiah W Andrews,Salem,"Zanzibar, Majunga",,PEM,"NEM 215, RW 1:1; PE Log 506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1843,USA,Cavalier,Andrews,Salem,Majunga,,PE Log 507,"RW 1, 1 and 2, 2:3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1844,USA,Cavalier,John G Waters?,Salem,Zanzibar,,,"NEM 215, BW 1, 1 and 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1856,USA,Cavalier,Bourne,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1845,USA,Ceile,Chalmers,Baltimore,Zanzibar,,,"NEM 268, 343","wrecked at JEan de Nove, the captain and crew at Moz, likely slavers ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1836,USA,Cephon,,Sag Harbor,Madagascar,whaler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1834,USA,Ceres,Paterre,New Bedford,Zanzibar,whaling,New Bedford Whaling MUSAeum / Mariner's MUSAeum Library,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1836,USA,Ceres,John G. Barker,New Bedford,"Zanzibar, Comoros, Saint Auguastin Bay",whaler,NBWM 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1794,USA,Chace,Tallman,Boston,Maritius,sugar,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1844,USA,Charles Henry,Jeffrey,New London,MauiritiUSA,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450401.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
