ID,Year of Voyage,Vessel Flag,Vessel Name,Name of master or author,Original Port,Places Visited,Items Traded,Archival location of ship log,Source ,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1857,USA,Hope,Brayton,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1804,USA,Horizon,J B Marston,Charlestown,"Mozambique, Maritius",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,1834,USA,Host?,Perkins,Salem,Zanzibar,specie and arms,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,1855,USA,Houghton,Marble,Fall River,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,to cruise off Bourbon and Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,1836,USA,Houqua,,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,1836,USA,Houqua,,,Madagascar,whaler,,NBWM 47; NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,1840,USA,Houqua,Thos. West,New Bedford,"Maritius, Saint Auguastine Bay",whaling,"New Bedford, PPL H 774/1835j","NARA reel 1; NBWM 47; BUSAch Whaling, p. 45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,1837,USA,Huren,Jonathan Nye,New York,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,1859,USA,Illinois,William R. Potter,New Bedford,Madagascar,whaling,New Bedford mUSAeum library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,1835,USA,Incleoy ,,,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,1857,USA,India,Howland,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,1803,USA,India Packet,,Portsmouth,Maritius,,,NEM: 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,1792,USA,Ino,Rebet Medcalfe,Salem,"Maritius, Madagascar",,,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,1853,USA,Ionia,Coggeshall,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531122.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,1855,USA,Ionia,Randall,New Bedford,"Maritius, ""Tula Bay""",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,1852,USA,Iosco,Groves and Peabody,Salem,"Nosy Be, Zanzibar",,PE Log 665,"History of Essex County, 85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,1858,USA,Iosco,ClaUSAsen,Salem,Zanzibar,,,"History of Essex County, 85","struck a reef off Zanzibar, vessel and cargo lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1852,USA,Iris,Sherman,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,1856,USA,Isabella,Lyon,New Bedford,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570324.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,1872,USA,Islander,John G. Hamblen,New Bedford,"Anjouan, Cape Ambre, Maritius",whaling,NBWM 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,1842,USA,Israel,L. Little,New Bedford,"Saint Auguastin Bay, Maritius",whaling,Mystic Seaport MUSAeum,"NARA reel 2, NWBM 97? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,1842,USA,Izette,,,Madagascar,whaler,PEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,1857,USA,J. H. Duvall,Young,Providencetown,Johanna,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,1854,USA,James Allen,Newcomb,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541031.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,1856,USA,James Edward,Smith / Murray,New Bedford ,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570519.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570428.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560819.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560805.pdf,"ships crew refUSAing to do duty ; in March 1857 ship very bad condition, under Murray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,1835,USA,James Monroe,,Hudson,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,1844,USA,James Monroe,Harding,Fairhaven,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450603.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,1834,USA,James Steward,,,Saint Auguastine Bay,whaling,,NBWM 179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,1842,USA,Jane,Hankcat,Somerset,"Saint Auguastin Bay, Johanna",whaling, ,"NWBM 97, Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,1829,GBR,Jaseur,Lyons,,Fort Dauphin,,,"Holman, 418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,1843,USA,Jason,Harris,New London,Saint Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1845,USA,Jasper,Pope,New Bedford,St Auguastine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,1848,USA,Jasper,Pope,New Bedford,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,1834,USA,Java,,New Bedford,Saint Auguastine Bay,whaling,,NBWM 1071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,1836,USA,Java,,,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,1837,USA,Java,Otis Smith,New Bedford,Maritius,whaling,New Bedford whaling mUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,1851,USA,Jeram,,Providence,Zanzibar,,,NEM 486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,1869,USA,Jersey,James S. Williams,Salem,"Zanzibar, Madagascar",wrecked near Tamatave,"Putnam, 71, History of Essex County, pg 85","History of Essex County, 85",wrecked at Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,1837,USA,John,Warren Howland,New Bedford,"Saint Auguastine Bay, Mokamba Bay",whaling,NBWM 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,1835,USA,John  ,Andrew Almay,New Bedford,Saint Auguastine Bay,whaling,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,1855,USA,John & Edward,Smith,New Bedford,"Maritius, Tulear/St Auguastine Bay",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560108.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,bound for Tuller Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1838,USA ,John Adams,Thomas Wyman,,"Zanzibar, Muscat",,,NEM 208-9,naval ship?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1857,USA,John Dawson,Baker,New Bedford,"St Auguastine Bay, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570505.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf; http://images.mysticseaport.org/images/wsl/18580525.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,1868,USA,John Dawson,Asaph S. Wicks,New Bedford, Anjouan,whaler,NBWM 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,1872,USA,John P. West,Calvin Manchester,,Antongil Bay,whaling,,NBWM 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,1855,USA,Joker,,,"Maritius, Seychelles",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,1854,USA,Joseph Maxwell,John F Wady,Fairhaven,"Rio, Zanzibar, Johanna",whaling,PE Log 1682,NEM 497,"whaling, sailor on board punished at Zanzibar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,1903,USA,Josephine,Horace P Smith,New Bedford,"Madagascar, Comoros",whaling,New Bedford whaling library - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,1805,USA,Juliana,Samuel Nickols,Boston,"Maritius, Madagascar",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,1854,USA,JuliUSA Caesar,Babcock,New London,Maritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,1857,USA,JuliUSA Caesar,Barlett,New London,Maritius,whaling,,http://images.mysticseaport.org/images/wsl/18580406.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,1846,USA,JuniUSA,Smith,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,1851,USA,JuniUSA,Nye,New Bedford,"Johanna, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520309.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,"wrecked in the Mozambique Channel, crew returned from MauritiUSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,1797,USA,Katy,John Trask,Salem?,Maritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,1801,USA,Kingston,Thomas Dennis,London,Saint Auguastine Bay,whaling,NBWM 263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,1837,GBR,Kite,,London,"Majunga, Mozambique, Seychelles?, Zanzibar, Burburra, Zanzibar",,,NEM 191,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,1855,USA,La Duchess d'Orleans,Garland,,Maritius,"guano for MauritiUSA, taking sugar back to USA",,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,1849,USA,La Plata,George Bertram,,"Madagascar, Zanzibar",noting conflict on Nosy Be,PE Log 997,"detailed description of islanders, conflict at Nosy Be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,1833,USA,Lady Sarah,Conant,Salem,"Majunga, Zanzibar",,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,1834,USA,Lady Sarah,William Bates,Salem,"Majunga, East Africa, Zanzibar",,,"Putnam, 3: 111; Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,1844,USA,Lafayette,Albert Bowen,"Warren, RI","Madagascar, Zanzibar",whaling,http://pplspc.org/nicholson/rj5_nicholson_383/pdf/rj5_nicholson_383r.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,1846,USA,Lafayette,Bowen,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470601.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,1861,USA,Lagoda,,,Maritius,whaling,NBL 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1852,USA,Lagrange,Hammond,Fairhaven,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520803.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,1836,USA,Lalla Rookh,,,Madagascar,whaler,,NBWM 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,1855,USA,Lancer,Lakeman,New Bedford,"Johanna; Madagascar, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551211.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530823.pdf; NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530816.pdf,carrying the govr and magristrate and their ladies from MauritiUSA to Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1872,USA,Lancer,W. H . Macy,New Bedford,"Antongil Bay, Mahe, Maritius",whaling,NBWM 265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,1837,USA,Lark,Miller,London,Zanzibar,,,NEM 199,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,1825,USA,Laurel,Lovett,Salem,"Zanzibar, Majunga, Anjouan",,,"Northway, 124; Putnam vol 3, 107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,1828,USA,Laurel,Morgan,Salem,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,1843,USA,Le Baron,Parker,"Mattapoisett, MA",Comoros,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,1836,USA,Leander,J. S. Kimball,Salem,Zanzibar,,,"History of Essex County, 85; NEM 194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,1844,USA,Leander,Avery,Mystic,"coast of Africa, Maritius",whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,1846,USA,Leander,Lorenzo Dow Baker,Mystic,"coast of Africa, Maritius",whaling,Mystic Seaport MUSAeum,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1848,USA,Leander,Brerieton,Mystic,Maritius,whaling,,images.mysticseaport.org/images/.mysticseaport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1844,USA,Leonidas,Tobey,Fairhaven,"Saint Auguastin Bay, Maritius, Mozambique",whaling,New Bedford whaling mUSAeum,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1848,USA,Leonidas,Cornell,"Westport, MA","Anjouan, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,1850,USA,Leonidas,Gifford,FAirhaven,Maritius; Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520309.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501105.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,said to be in distress when arrived at MauritiUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,1838,GBR,Leveret,Bosenquet,,"Zanzibar, Maritius",,,NEM 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1855,USA,Lexington,Smith,New Bedford,Maritius,whaling,,"Starbuck, 514-5; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551127.pdf",condemned at MauritiUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,1838,USA,Lewis,Cunningham,,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,2843,USA,Lewis,Tallman,,Johanna,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1843,USA,Liberty,,"Cold Spring, NY",Madagascar,whaler,,"RW, 3: 7",shipwreckedon May 31 in Antongil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,1787,USA,Light Horse,,Salem,Maritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,1834,USA,Liverpool,,,Saint Auguastine Bay,whaling,,NBWM 179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,1837,USA,Liverpool,Fisher,New Bedford,Maritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,1859,USA,Lizzie,Alexander Nickerson,Boston,Zanzibar,,PEM,https://beta.worldcat.org/archivegrid/collection/data/830841298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,1836,USA,London   ,,Lynn,Saint Auguastine Bay,whaling,NBWM 971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,1833,USA,London Packet,H. Norris,New Bedford,"Johanna, Maritius",whaling,NBWM 740,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,1835,USA,London Packet,,,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,1835,USA,London Packet,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,1835,USA,London Packet,Genny,,Saint Auguastin Bay,whaling,,NBWM 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,1836,USA,London Packet,,,"Anjouan, Zanzibar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,1837,USA,London Packet,Gilbert Jenny,New Bedford,"Maritius, Zanzibar",whaling,,NARA reel 1; NEM 206,"whaling, New Bedford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,1837,USA,London Packet,,,Saint Auguastine Bay,whaling,,NBWM 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,1836,GBR,Lord Sidney,,London,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,1835,USA,Louisa,,Lynn,Saint Auguastine Bay,whaling,,NBWM ODHS 172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,1835,USA,Louisa,,,Saint Auguastine Bay,whaling,,NBL 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,1839,USA,Louisa,Wooley,Lynn,"Madagascar, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,1845,USA,Lucas,Borden,New Bedford,Maritius,whaling,,"Starbuck, pp. 388=9; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18441105.pdf",ship abandoned at Fort Dauphin in 1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,1850,USA,M. P. Cassilly,Barker,New Bedford,Mozambique,"under ""Calfornia Fleet""",,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1859,USA,M. Shepard,,,"Majunga, Nosy Be, Tamatave  ",,PE Log 758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,1843,USA,Macon,Merry,Holme's Hole,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,1829,GBR,Maidstone,,,Maritius,,,"Holman, 414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,1835,USA,Maine,,Fairhaven,Saint Auguastine Bay,whaling,,NBWM KWM 597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,1837,USA,Maine,Makee,Fairhaven,"Saint Auguastin Bay, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1844,USA,Maine,Tobey,Boston,"Johanna, Nosy Be, Mozambique",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450304.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,1838,USA,Malay,Edwin Bannard,,"Zanzibar, Maritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,1842,USA,Malay,,Salem,Mozambique Channel,whaling,PEM,NARA reel 2,wrecked in the channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,1845,USA,Marcella,Smith,New Bedford,Johanna,whaling,,"NBWM 259, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,1848,USA,Marcella,Worth,New Bedford,"Anjouan, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490102.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,1851,USA,Marcella,Winslow,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,1854,USA,Marcella,Morton,New BEdford,"Zanzibar, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551106.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550731.pdf,"stuck on a reef around Zanzibar, help from the consul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,1874,USA,Marcella,John Sturgis,New Bedford,Anjouan,whaling,NBWM 134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,1833,USA,Marcia,Peter Butler,Fairhaven,"Mozambique, Madagascar",whaling,New Bedford whaling mUSAeum - in catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,1836,USA,Marcia,,Fairhaven,Saint Auguastine Bay,whaling,,NBWM 411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,1837,USA,Marcia,,,Saint Auguastine Bay,whaling,,NBWM 339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,1848,USA,MarcUSA,Babcock,Sag Harbor,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,1848,USA,Margaret Ann,,,"Nosy Be, Zanzibar",,,NEM 397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,1835,USA,Margaret Oakley,Benjamin Morrell,New York,"Singapore, Fort Dauphin",,"Waters papers, Box 11","NEM 186, BW 1:5",wrecked at FD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,1836,USA,Margaret Rait,Edward Gardner,New Brunswick,Saint Auguastine Bay,whaling,NBWM 971,,SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,1856,USA,Margaret SCott,Howland,New Bedford,"SAint Auguastine BAy, Maritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560923.pdf,small leak to fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,1836,USA,Maria,Bin CUSAhman,,Maritius,whaling,New Bedford Whaling MUSAeum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,1839,USA,Maria,,New Bedford,Zanzibar,whaling,RP (Providence Public Library),NEM 213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,1844,USA,Maria,Joshua Coffin,New Bedford,Madagascar,whaler,Kendall Whaling MUSAeum,NEM 269,"whaler, James C Cameron left at Johanna and died in Zanzibar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,1844,USA,Maria,Joshua Coffin,New Bedford,Anjouan,whaling,NBWM 136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,1846,USA,Maria,Joshua Coffin,New Bedford,"Saint Auguastin Bay, Nosy Be, Anjouan, Zanzibar",whaling,Nantucket Historical association ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,1850,USA,Maria,Mooers,NEw Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501001.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,1857,USA,Maria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,1836,USA,Mariana,,,Anjouan,whaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,1802,USA,Mars,Swain,Boston,"Maritius, Canton",,,NEML 5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,1845,USA,Mars,Philip H. Borden,New Bedford,"Sainte Marie, Madagascar, Nosy Be",whaling,New Bedford mUSAeum library - in catalog; NBL 47,BL 47; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18461201.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
