Date (visiting Madagascar),Flag,AAA Name of ship,Name of master or author,Original Port,Places visited,Trade?,Archival location of ship log,Source ,Details,Madagascar ports,date in,date out,goods bought,goods sold,details,second stop,date in,date out,third stop,date in,date out,fourth stop,date in,date out,fifth stop,date in,date out,sixth stop,date in ,date out,7 stop,date in ,date out,8 stop,date in,date out,8 stop,date in,date ou,,,,,,
1845,US,Herald,Luce,Fairhaven,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460407.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Herald,Barker,Stonnington,"Nosy Be, Mauritius, Johanna",whaling,,NBWM 259,,Nosy Be,June 1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Herald,Slocum,New Bedford,"Saint Augustin Bay, Mauritius",whaling,,NBWM 137; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570707.pdf,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,US,Herald,John R. Sturgis,New Bedford,Anjouan,whaler,NBWM 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Hercules,Chase,New Bedford,Saint Augustine Bay,whaling,NBL 33,MBWM 971,,Saint Augustine Bay,23-Jun,29-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Hercules,Marvell,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440604.pdf,,Saint Augustine Bay,06-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Hercules,Marvel ,New Bedford,"Johanna, Mauritius",whaler,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,US,Hibernia,Cooke,New Bedford,"Mauritius, Sainte Marie",whaling,http://pplspc.org/nicholson/rj5_nicholson_326/pdf/rj5_nicholson_326r.pdf,NARA reel 2,,Sainte Marie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Hibernia,Isaac Sanford,New Bedford,Mauritius,whaling,"NBWM 22, NBL 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Highlander?,,New Bedford,Madagascar,whaler,,,,Madagascar,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,US,Hind,John Beckford,Salem,Mauritius ,,,"History of Essex County, 82-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,US,Hope,Samuel Lambert,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,US,Hope,,Salem,Madagascar,,PEM,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Hope,Taylor,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440903.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Hope,Ellis,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18460908.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Hope,Waite,New Bedford,"Mauritius, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18540801.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Hope,Brayton,New Bedford,Zanzibar,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,US,Horizon,J B Marston,Charlestown,"Mozambique, Mauritius",,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Host?,Perkins,Salem,Zanzibar,specie and arms,,"Edmund Roberts, LOC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Houghton,Marble,Fall River,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560129.pdf,to cruise off Bourbon and Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Houqua,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Houqua,,,Madagascar,whaler,,NBWM 47; NBWM 411,,Saint Augustine Bay,July,,,,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,US,Houqua,Thos. West,New Bedford,"Mauritius, Saint Augustine Bay",whaling,"New Bedford, PPL H 774/1835j","NARA reel 1; NBWM 47; Busch Whaling, p. 45",,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Huren,Jonathan Nye,New York,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,Illinois,William R. Potter,New Bedford,Madagascar,whaling,New Bedford museum library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Incleoy ,,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,India,Howland,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18571103.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,US,India Packet,,Portsmouth,Mauritius,,,NEM: 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,US,Ino,Rebet Medcalfe,Salem,"Mauritius, Madagascar",,,PEM,,Madagascar,20-Sep,27-Sep,,,attacked by islanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,US,Ionia,Coggeshall,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18531122.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Ionia,Randall,New Bedford,"Mauritius, ""Tula Bay""",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551009.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Iosco,Groves and Peabody,Salem,"Nosy Be, Zanzibar",,PE Log 665,"History of Essex County, 85",,Nosy Be,14-May,19-May,"ebony, sandal wood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,US,Iosco,Claussen,Salem,Zanzibar,,,"History of Essex County, 85","struck a reef off Zanzibar, vessel and cargo lost",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Iris,Sherman,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530104.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,Isabella,Lyon,New Bedford,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570324.pdf,,Saint Augustine Bay,May 1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Islander,John G. Hamblen,New Bedford,"Anjouan, Cape Ambre, Mauritius",whaling,NBWM 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Israel,L. Little,New Bedford,"Saint Augustin Bay, Mauritius",whaling,Mystic Seaport Museum,"NARA reel 2, NWBM 97? ",,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Izette,,,Madagascar,whaler,PEM,,,Madagascar,11-Mar,19-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,J. H. Duvall,Young,Providencetown,Johanna,whaling,,http://images.mysticseaport.org/images/wsl/18571229.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,James Allen,Newcomb,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18541031.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,US,James Edward,Smith / Murray,New Bedford ,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570519.pdf;http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570428.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560819.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560805.pdf,"ships crew refusing to do duty ; in March 1857 ship very bad condition, under Murray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,James Monroe,,Hudson,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,James Monroe,Harding,Fairhaven,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450603.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,James Steward,,,Saint Augustine Bay,whaling,,NBWM 179,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Jane,Hankcat,Somerset,"Saint Augustin Bay, Johanna",whaling, ,"NWBM 97, Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,UK,Jaseur,Lyons,,Fort Dauphin,,,"Holman, 418",,Fort Dauphin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Jason,Harris,New London,Saint Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430905.pdf,,Saint Augustine Bay,16-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Jasper,Pope,New Bedford,St Augustine Bay,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf,,Saint Augustine Bay,"MA 22, 1845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Jasper,Pope,New Bedford,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18480905.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Java,,New Bedford,Saint Augustine Bay,whaling,,NBWM 1071,,Saint Augustine Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Java,,,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Java,Otis Smith,New Bedford,Mauritius,whaling,New Bedford whaling museum,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Jeram,,Providence,Zanzibar,,,NEM 486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,US,Jersey,James S. Williams,Salem,"Zanzibar, Madagascar",wrecked near Tamatave,"Putnam, 71, History of Essex County, pg 85","History of Essex County, 85",wrecked at Madagascar,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,John,Warren Howland,New Bedford,"Saint Augustine Bay, Mokamba Bay",whaling,NBWM 339,,,Saint Augustine Bay,19-Apr,02-May,,,,Saint Augustine Bay,18-Aug,30-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,John  ,Andrew Almay,New Bedford,Saint Augustine Bay,whaling,NBWM KWM 597,,,Saint Augustine Bay,05-Mar,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,John & Edward,Smith,New Bedford,"Mauritius, Tulear/St Augustine Bay",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18560108.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551023.pdf,bound for Tuller Bay,Saint Augustine Bay,"July 29, 1855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US ,John Adams,Thomas Wyman,,"Zanzibar, Muscat",,,NEM 208-9,naval ship?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,John Dawson,Baker,New Bedford,"St Augustine Bay, Johanna",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18570505.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18561209.pdf; http://images.mysticseaport.org/images/wsl/18580525.pdf,,Saint Augustine Bay,"January 1, 1857",,,,,St Augustine Bay,"February 8, 1858",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,US,John Dawson,Asaph S. Wicks,New Bedford, Anjouan,whaler,NBWM 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,John P. West,Calvin Manchester,,Antongil Bay,whaling,,NBWM 265,,Antongil Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Joker,,,"Mauritius, Seychelles",,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Joseph Maxwell,John F Wady,Fairhaven,"Rio, Zanzibar, Johanna",whaling,PE Log 1682,NEM 497,"whaling, sailor on board punished at Zanzibar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,US,Josephine,Horace P Smith,New Bedford,"Madagascar, Comoros",whaling,New Bedford whaling library - in catalog,,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,US,Juliana,Samuel Nickols,Boston,"Mauritius, Madagascar",,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,US,Julius Caesar,Babcock,New London,Mauritius,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550227.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,US,Julius Caesar,Barlett,New London,Mauritius,whaling,,http://images.mysticseaport.org/images/wsl/18580406.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Junius,Smith,New Bedford,Anjouan,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470202.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Junius,Nye,New Bedford,"Johanna, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520309.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,"wrecked in the Mozambique Channel, crew returned from Mauritius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,US,Katy,John Trask,Salem?,Mauritius,,,"History of Essex County, pg 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,US,Kingston,Thomas Dennis,London,Saint Augustine Bay,whaling,NBWM 263,,,Saint Augustine Bay,01-Feb,02-Mar,,,sick with scurvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,UK,Kite,,London,"Majunga, Mozambique, Seychelles?, Zanzibar, Burburra, Zanzibar",,,NEM 191,owned by Newman Hunt and Christopher,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,La Duchess d'Orleans,Garland,,Mauritius,"guano for Mauritius, taking sugar back to US",,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18550918.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,US,La Plata,George Bertram,,"Madagascar, Zanzibar",noting conflict on Nosy Be,PE Log 997,"detailed description of islanders, conflict at Nosy Be",,Madagascar,24-Mar,30-Mar,,"35 bales [cotton], not much trade at Nosy Be",,Nosy Be,April,15 days later,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,Lady Sarah,Conant,Salem,"Majunga, Zanzibar",,,"Edmund Roberts, LOC",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Lady Sarah,William Bates,Salem,"Majunga, East Africa, Zanzibar",,,"Putnam, 3: 111; Edmund Roberts, LOC",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Lafayette,Albert Bowen,"Warren, RI","Madagascar, Zanzibar",whaling,http://pplspc.org/nicholson/rj5_nicholson_383/pdf/rj5_nicholson_383r.pdf,,,Madagascar,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Lafayette,Bowen,Warren,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18470601.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,US,Lagoda,,,Mauritius,whaling,NBL 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,US,Lagrange,Hammond,Fairhaven,Zanzibar,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520803.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Lalla Rookh,,,Madagascar,whaler,,NBWM 47,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Lancer,Lakeman,New Bedford,"Johanna; Madagascar, Mauritius",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551211.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530920.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530823.pdf; NARA reel 2; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18530816.pdf,carrying the govr and magristrate and their ladies from Mauritius to Seychelles,"Moss Bay, Madagascar",1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,US,Lancer,W. H . Macy,New Bedford,"Antongil Bay, Mahe, Mauritius",whaling,NBWM 265,,,Antongil Bay,15-Jul,27-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Lark,Miller,London,Zanzibar,,,NEM 199,owned by Newman Hunt and Christopher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,US,Laurel,Lovett,Salem,"Zanzibar, Majunga, Anjouan",,,"Northway, 124; Putnam vol 3, 107",,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,US,Laurel,Morgan,Salem,Majunga,,,,,Majunga,13-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Le Baron,Parker,"Mattapoisett, MA",Comoros,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,Leander,J. S. Kimball,Salem,Zanzibar,,,"History of Essex County, 85; NEM 194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Leander,Avery,Mystic,"coast of Africa, Mauritius",whaling,,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,US,Leander,Lorenzo Dow Baker,Mystic,"coast of Africa, Mauritius",whaling,Mystic Seaport Museum,NARA reel 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Leander,Brerieton,Mystic,Mauritius,whaling,,images.mysticseaport.org/images/.mysticseaport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Leonidas,Tobey,Fairhaven,"Saint Augustin Bay, Mauritius, Mozambique",whaling,New Bedford whaling museum,"NARA reel 2, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18440806.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf",,Saint Augustine Bay,March,30-Mar,,,,Saint Augustine Bay,"March 31, 1845",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Leonidas,Cornell,"Westport, MA","Anjouan, Nosy Be",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500205.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18481205.pdf,,Nosy Be,"June 27, 1849",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,Leonidas,Gifford,FAirhaven,Mauritius; Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18520309.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18501105.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18510107.pdf,said to be in distress when arrived at Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,UK,Leveret,Bosenquet,,"Zanzibar, Mauritius",,,NEM 207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,US,Lexington,Smith,New Bedford,Mauritius,whaling,,"Starbuck, 514-5; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18551127.pdf",condemned at Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Lewis,Cunningham,,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2843,US,Lewis,Tallman,,Johanna,whaling,,"Whaleman's shipping list, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18430317.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Liberty,,"Cold Spring, NY",Madagascar,whaler,,"RW, 3: 7",shipwreckedon May 31 in Antongil,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,US,Light Horse,,Salem,Mauritius,,,"Bean, Yankee India, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,US,Liverpool,,,Saint Augustine Bay,whaling,,NBWM 179,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Liverpool,Fisher,New Bedford,Mauritius,whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,Lizzie,Alexander Nickerson,Boston,Zanzibar,,PEM,https://beta.worldcat.org/archivegrid/collection/data/830841298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,London   ,,Lynn,Saint Augustine Bay,whaling,NBWM 971,,,Saint Augustine Bay,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,US,London Packet,H. Norris,New Bedford,"Johanna, Mauritius",whaling,NBWM 740,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,London Packet,,,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,London Packet,,,Antongil Bay,whaling,,MBWM ODHS 1086 A,,Antongil,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,London Packet,Genny,,Saint Augustin Bay,whaling,,NBWM 24,,Saint Augustine Bay,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,US,London Packet,,,"Anjouan, Zanzibar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,London Packet,Gilbert Jenny,New Bedford,"Mauritius, Zanzibar",whaling,,NARA reel 1; NEM 206,"whaling, New Bedford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,London Packet,,,Saint Augustine Bay,whaling,,NBWM 339,,Saint Augustine Bay,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,UK,Lord Sidney,,London,Saint Augustine Bay,whaling,,NBWM 411,,Saint Augustine Bay,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Louisa,,Lynn,Saint Augustine Bay,whaling,,NBWM ODHS 172,,Saint Augustine Bay,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Louisa,,,Saint Augustine Bay,whaling,,NBL 32,,Saint Augustine Bay,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,US,Louisa,Wooley,Lynn,"Madagascar, Mauritius",whaling,,NARA reel 1,,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Lucas,Borden,New Bedford,Mauritius,whaling,,"Starbuck, pp. 388=9; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18441105.pdf",ship abandoned at Fort Dauphin in 1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,US,M. P. Cassilly,Barker,New Bedford,Mozambique,"under ""Calfornia Fleet""",,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18500806.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1859,US,M. Shepard,,,"Majunga, Nosy Be, Tamatave  ",,PE Log 758,,,Majunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,US,Macon,Merry,Holme's Hole,Madagascar?,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18431107.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,UK,Maidstone,,,Mauritius,,,"Holman, 414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,US,Maine,,Fairhaven,Saint Augustine Bay,whaling,,NBWM KWM 597,,Saint Augustine Bay,March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,US,Maine,Makee,Fairhaven,"Saint Augustin Bay, Mauritius",whaling,,NARA reel 1,,Saint Augustin Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,US,Maine,Tobey,Boston,"Johanna, Nosy Be, Mozambique",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450304.pdf; http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18450805.pdf,,Nosy Be,"August 10, 1844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,US,Malay,Edwin Bannard,,"Zanzibar, Mauritius",whaling,,NARA reel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,US,Malay,,Salem,Mozambique Channel,whaling,PEM,NARA reel 2,wrecked in the channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,US,Marcella,Smith,New Bedford,Johanna,whaling,,"NBWM 259, http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18451007.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,US,Marcella,Worth,New Bedford,"Anjouan, Zanzibar",whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18490102.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,US,Marcella,Winslow,New Bedford,Johanna,whaling,,http://images.mysticseaport.org/images/.mysticseaport.org/Images/wsl/18511118.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
